曲名,セクション,No.0難易度評価,No.1難易度評価,No.2難易度評価,No.3難易度評価,No.4難易度評価,No.5難易度評価,No.6難易度評価,No.7難易度評価,No.8難易度評価,No.9難易度評価,No.10難易度評価,No.11難易度評価,No.0難易度評価（正規化）,No.1難易度評価（正規化）,No.2難易度評価（正規化）,No.3難易度評価（正規化）,No.4難易度評価（正規化）,No.5難易度評価（正規化）,No.6難易度評価（正規化）,No.7難易度評価（正規化）,No.8難易度評価（正規化）,No.9難易度評価（正規化）,No.10難易度評価（正規化）,No.11難易度評価（正規化）,難易度評価平均,難易度分散（不偏分散）,正規化難易度評価平均,正規化難易度分散（不偏分散）,,キャッチネス０,キャッチネス１,キャッチネス２,キャッチネス３,キャッチネス４,キャッチネス５,キャッチネス６,キャッチネス７,キャッチネス８,キャッチネス９,キャッチネス１０,キャッチネス１１,嗜好度０,嗜好度１,嗜好度２,嗜好度３,嗜好度４,嗜好度５,嗜好度６,嗜好度７,嗜好度８,嗜好度９,嗜好度１０,嗜好度１１,記憶度0,記憶度1,記憶度2,記憶度3,記憶度4,記憶度5,記憶度6,記憶度7,記憶度8,記憶度9,記憶度10,記憶度11
チェリー,Bメロ,3,3,3,5,4,,4,7,4,5,5,2,-0.830020903,-0.645140226,-0.280156888,-0.101187537,-0.960771692,,-0.385354046,1.53704273,-0.432006221,0.749279539,0.19597596,-1.532088748,4.09,1.891,-0.24,0.711,,7,7,6,7,5,,6,5,5,7,6,7,6,5,4,7,7,,6,5,5,5,6,5,3,3,2,2,3,,3,2,2,3,3,3
チェリー,サビ,4,5,4,6,6,,5,7,4,4,5,2,-0.174742967,0.701244059,0.373544697,0.708312759,0.960771692,,0.337189306,1.53704273,-0.432006221,0.172910663,0.19597596,-1.532088748,4.73,1.818,0.26,0.643,,7,7,6,7,5,,6,5,5,7,6,7,6,5,4,7,7,,6,5,5,5,6,5,3,3,2,2,3,,3,2,2,3,3,3
小さな恋のうた,Aメロ,4,3,2,5,5,5,4,1,,7,6,6,-0.174742967,-0.645140226,-0.933858474,-0.101187537,0,0.117043539,-0.385354046,-1.53704273,,1.902017291,0.849229161,0.73767236,4.36,3.255,-0.02,0.873,,6,6,6,7,6,7,6,7,6,6,3,6,3,6,5,7,4,7,5,7,5,5,6,7,3,3,3,3,2,2,3,3,3,3,3,3
小さな恋のうた,Bメロ,6,2,5,6,5,5,5,1,5,3,5,2,1.135812905,-1.318332368,1.027246282,0.708312759,0,0.117043539,0.337189306,-1.53704273,0.345598756,-0.403458213,0.19597596,-1.532088748,4.17,2.879,-0.08,0.879,,6,6,6,7,6,7,6,7,6,6,3,6,3,6,5,7,4,7,5,7,5,5,6,7,3,3,3,3,2,2,3,3,3,3,3,3
小さな恋のうた,サビ,4,3,6,4,5,4,5,1,6,1,5,3,-0.174742967,-0.645140226,1.680947867,-0.910687832,0,-0.585203652,0.337189306,-1.53704273,1.123203733,-1.556195965,0.19597596,-0.964648471,3.92,2.811,-0.25,0.982,,6,6,6,7,6,7,6,7,6,6,3,6,3,6,5,7,4,7,5,7,5,5,6,7,3,3,3,3,2,2,3,3,3,3,3,3
世界に一つだけの花,Aメロ,1,3,1,2,4,2,2,5,,6,6,6,-2.140576776,-0.645140226,-1.587560059,-2.529688423,-0.960771692,-1.989698034,-1.830440751,0.512347577,,1.325648415,0.849229161,0.73767236,3.45,4.073,-0.75,1.923,,7,6,7,7,6,6,7,7,5,7,7,7,5,4,5,7,5,2,6,4,6,6,7,6,3,2,2,2,2,2,3,1,2,3,3,3
世界に一つだけの花,Bメロ,2,2,2,4,3,2,2,5,2,1,1,1,-1.48529884,-1.318332368,-0.933858474,-0.910687832,-1.921543384,-1.989698034,-1.830440751,0.512347577,-1.987216174,-1.556195965,-2.417036843,-2.099529025,2.25,1.477,-1.49,0.611,,7,6,7,7,6,6,7,7,5,7,7,7,5,4,5,7,5,2,6,4,6,6,7,6,3,2,2,2,2,2,3,1,2,3,3,3
世界に一つだけの花,サビ,1,2,1,3,2,2,2,2,6,3,6,3,-2.140576776,-1.318332368,-1.587560059,-1.720188128,-2.882315075,-1.989698034,-1.830440751,-1.024695153,1.123203733,-0.403458213,0.849229161,-0.964648471,2.75,2.750,-1.16,1.406,,7,6,7,7,6,6,7,7,5,7,7,7,5,4,5,7,5,2,6,4,6,6,7,6,3,2,2,2,2,2,3,1,2,3,3,3
前前前世,Aメロ,5,3,2,6,5,6,7,6,5,2,3,2,0.480534969,-0.645140226,-0.933858474,0.708312759,0,0.81929073,1.782276012,1.024695153,0.345598756,-0.979827089,-1.110530442,-1.532088748,4.33,3.333,0.00,1.053,,3,6,6,7,6,6,3,7,5,2,4,,3,6,5,7,5,7,4,3,5,4,3,,2,2,3,3,2,1,1,1,1,3,1,
前前前世,Bメロ,6,6,4,7,7,6,6,6,2,3,3,1,1.135812905,1.374436202,0.373544697,1.517813054,1.921543384,0.81929073,1.059732659,1.024695153,-1.987216174,-0.403458213,-1.110530442,-2.099529025,4.75,4.205,0.30,1.892,,3,6,6,7,6,6,3,7,5,2,4,,3,6,5,7,5,7,4,3,5,4,3,,2,2,3,3,2,1,1,1,1,3,1,
前前前世,サビ,5,6,3,6,5,5,7,5,4,3,7,5,0.480534969,1.374436202,-0.280156888,0.708312759,0,0.117043539,1.782276012,0.512347577,-0.432006221,-0.403458213,1.502482362,0.170232083,5.08,1.720,0.46,0.567,,3,6,6,7,6,6,3,7,5,2,4,,3,6,5,7,5,7,4,3,5,4,3,,2,2,3,3,2,1,1,1,1,3,1,
天体観測,Aメロ,4,3,4,5,5,,4,2,5,3,7,4,-0.174742967,-0.645140226,0.373544697,-0.101187537,0,,-0.385354046,-1.024695153,0.345598756,-0.403458213,1.502482362,-0.397208194,4.18,1.764,-0.08,0.442,,6,5,4,7,3,,5,7,5,4,6,7,6,5,7,7,4,,5,7,5,7,4,6,3,3,3,3,2,,2,2,2,3,2,3
天体観測,Bメロ,5,5,4,6,6,,4,2,2,3,3,1,0.480534969,0.701244059,0.373544697,0.708312759,0.960771692,,-0.385354046,-1.024695153,-1.987216174,-0.403458213,-1.110530442,-2.099529025,3.73,2.818,-0.34,1.194,,6,5,4,7,3,,5,7,5,4,6,7,6,5,7,7,4,,5,7,5,7,4,6,3,3,3,3,2,,2,2,2,3,2,3
天体観測,サビ,6,3,5,4,4,,4,2,4,3,3,5,1.135812905,-0.645140226,1.027246282,-0.910687832,-0.960771692,,-0.385354046,-1.024695153,-0.432006221,-0.403458213,-1.110530442,0.170232083,3.91,1.291,-0.32,0.619,,6,5,4,7,3,,5,7,5,4,6,7,6,5,7,7,4,,5,7,5,7,4,6,3,3,3,3,2,,2,2,2,3,2,3
粉雪,Aメロ,3,2,2,6,5,,3,3,5,4,7,2,-0.830020903,-1.318332368,-0.933858474,0.708312759,0,,-1.107897399,-0.512347577,0.345598756,0.172910663,1.502482362,-1.532088748,3.82,2.964,-0.32,0.893,,6,4,5,3,6,,5,5,5,5,3,5,5,4,5,6,6,,5,5,4,7,5,7,3,2,2,2,2,,2,2,2,3,2,2
粉雪,Bメロ,3,3,3,3,5,,3,4,3,6,3,,-0.830020903,-0.645140226,-0.280156888,-1.720188128,0,,-1.107897399,0,-1.209611198,1.325648415,-1.110530442,,3.60,1.156,-0.56,0.746,,6,4,5,3,6,,5,5,5,5,3,5,5,4,5,6,6,,5,5,4,7,5,7,3,2,2,2,2,,2,2,2,3,2,2
粉雪,サビ,5,5,6,6,5,,5,6,5,5,4,6,0.480534969,0.701244059,1.680947867,0.708312759,0,,0.337189306,1.024695153,0.345598756,0.749279539,-0.457277241,0.73767236,5.27,0.418,0.57,0.303,,6,4,5,3,6,,5,5,5,5,3,5,5,4,5,6,6,,5,5,4,7,5,7,3,2,2,2,2,,2,2,2,3,2,2
恋,Aメロ,5,,,5,,5,6,,6,1,5,1,0.480534969,,,-0.101187537,,0.117043539,1.059732659,,1.123203733,-1.556195965,0.19597596,-2.099529025,4.25,4.214,-0.10,1.347,,3,,,7,,7,4,,4,6,6,6,4,,,7,,7,5,,5,5,5,5,3,,,3,,2,1,,2,3,2,2
恋,Bメロ,4,,,6,,4,5,,4,7,7,,-0.174742967,,,0.708312759,,-0.585203652,0.337189306,,-0.432006221,1.902017291,1.502482362,,5.29,1.905,0.47,0.922,,3,,,7,,7,4,,4,6,6,6,4,,,7,,7,5,,5,5,5,5,3,,,3,,2,1,,2,3,2,2
恋,サビ,5,,,5,,5,5,,4,5,4,3,0.480534969,,,-0.101187537,,0.117043539,0.337189306,,-0.432006221,0.749279539,-0.457277241,-0.964648471,4.50,0.571,-0.03,0.321,,3,,,7,,7,4,,4,6,6,6,4,,,7,,7,5,,5,5,5,5,3,,,3,,2,1,,2,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
