曲名	セクション	No.0難易度評価	No.1難易度評価	No.2難易度評価	No.3難易度評価	No.4難易度評価	No.5難易度評価	No.6難易度評価	No.7難易度評価	No.8難易度評価	No.9難易度評価	No.10難易度評価	No.11難易度評価	No.0難易度評価（正規化）	No.1難易度評価（正規化）	No.2難易度評価（正規化）	No.3難易度評価（正規化）	No.4難易度評価（正規化）	No.5難易度評価（正規化）	No.6難易度評価（正規化）	No.7難易度評価（正規化）	No.8難易度評価（正規化）	No.9難易度評価（正規化）	No.10難易度評価（正規化）	No.11難易度評価（正規化）	難易度評価平均	難易度分散（不偏分散）	正規化難易度評価平均	正規化難易度分散（不偏分散）	跳躍割合	上向跳躍割合	下降跳躍割合	音域	音価エントロピー	タイの数	音価コスト	テンポ	音価コストとテンポの積	変化割合	ピッチエントロピー	キャッチネス平均	嗜好度平均	記憶度平均	MSDR	音価変化割合	平均	メジアン	最低音	最高音
世界に一つだけの花	サビ	1	2	1	3	2	2	2	2	2	3	3	1	-2.140576776	-1.318332368	-1.587560059	-1.720188128	-2.882315075	-1.989698034	-1.830440751	-1.024695153	-1.987216174	-0.403458213	-1.110530442	-2.099529025	2.09	0.491	-1.64	0.437	0.089	0.089	0	10	1.3	12	7.24	96	695.04	0.103	1.6	1.3	7.24	1.833333333	0.203	0.71	59.1	59	54	64
前前前世	Aメロ	5	3	2	6	5	6	7	6	3	6	3	NaN	0.480534969	-0.645140226	-0.933858474	0.708312759	0	0.81929073	1.782276012	1.024695153	-1.209611198	1.325648415	-1.110530442	NaN	4.73	2.818	0.20	1.092	0.067	0.05	0.017	10	1.49	6	5.04	190	957.6	0.203	1.64	1.49	5.04	4.5	0.429	0.5	60.8	61	54	64
前前前世	Bメロ	6	6	4	7	7	6	6	6	4	7	7	NaN	1.135812905	1.374436202	0.373544697	1.517813054	1.921543384	0.81929073	1.059732659	1.024695153	-0.432006221	1.902017291	1.502482362	NaN	6.00	1.200	1.11	0.469	0.32	0.095	0.22	10	1.08	7	3.46	190	657.4	0.478	1.67	1.08	3.46	6	0.429	0.5	60.3	61	56	66
前前前世	サビ	5	6	3	6	5	5	7	5	5	7	6	NaN	0.480534969	1.374436202	-0.280156888	0.708312759	0	0.117043539	1.782276012	0.512347577	0.345598756	1.902017291	0.849229161	NaN	5.45	1.273	0.71	0.509	0.16	0.081	0.081	10	0.847	11	4.33	190	822.7	0.135	1.43	0.847	4.33	5	0.366	0.312	61.1	61	56	66
天体観測	Aメロ	4	3	4	5	5	NaN	4	2	6	2	3	2	-0.174742967	-0.645140226	0.373544697	-0.101187537	0	NaN	-0.385354046	-1.024695153	1.123203733	-0.979827089	-1.110530442	-1.532088748	3.80	1.733	-0.29	0.488	0.23	0.083	0.15	14	1.05	7	5.05	165	833.25	0.295	1.77	1.05	5.05	4.2	0.43	0.418	53	53	45	59
天体観測	Bメロ	5	5	4	6	6	NaN	4	2	6	3	5	3	0.480534969	0.701244059	0.373544697	0.708312759	0.960771692	NaN	-0.385354046	-1.024695153	1.123203733	-0.403458213	0.19597596	-0.964648471	4.60	1.822	0.27	0.467	0.47	0.31	0.16	14	0.854	2	4.8	165	792	0.622	2.15	0.854	4.8	5.2	0.658	0.289	56	57	50	64
天体観測	サビ	6	3	5	4	4	NaN	4	2	4	4	5	2	1.135812905	-0.645140226	1.027246282	-0.910687832	-0.960771692	NaN	-0.385354046	-1.024695153	-0.432006221	0.172910663	0.19597596	-1.532088748	4.10	1.211	-0.18	0.626	0.21	0.09	0.12	12	0.908	9	4.33	165	714.45	0.271	1.83	0.908	4.33	4.4	0.512	0.291	63.3	64	57	69
粉雪	Aメロ	3	2	2	6	5	NaN	3	3	6	1	5	3	-0.830020903	-1.318332368	-0.933858474	0.708312759	0	NaN	-1.107897399	-0.512347577	1.123203733	-1.556195965	0.19597596	-0.964648471	3.60	3.156	-0.42	0.802	0.12	0.061	0.061	9	1.51	28	6.95	82	569.9	0.227	1.75	1.51	6.95	3.6	0.263	0.594	54.9	55	50	59
粉雪	Bメロ	3	3	3	3	5	NaN	3	4	6	3	6	3	-0.830020903	-0.645140226	-0.280156888	-1.720188128	0	NaN	-1.107897399	0	1.123203733	-0.403458213	0.849229161	-0.964648471	3.90	1.656	-0.30	0.734	0.22	0.1	0.12	17	1.13	7	6.68	82	547.76	0.206	2.2	1.13	6.68	3.4	0.333	0.391	56	55	47	69
粉雪	サビ	5	5	6	6	5	NaN	5	6	4	3	7	5	0.480534969	0.701244059	1.680947867	0.708312759	0	NaN	0.337189306	1.024695153	-0.432006221	-0.403458213	1.502482362	0.170232083	5.20	1.289	0.56	0.521	0.24	0.15	0.087	10	1.68	18	6.4	82	524.8	0.0769	1.96	1.68	6.4	5.4	0.303	0.621	64.7	66	59	69
恋	Aメロ	5	NaN	NaN	5	NaN	5	6	NaN	4	3	3	5	0.480534969	NaN	NaN	-0.101187537	NaN	0.117043539	1.059732659	NaN	-0.432006221	-0.403458213	-1.110530442	0.170232083	4.43	1.286	-0.06	0.490	0.26	0.065	0.19	14	0.708	4	4.33	158	684.14	0.355	1.93	0.708	4.33	5	0.74	0.156	59.7	61	52	66
恋	Bメロ	4	NaN	NaN	6	NaN	4	5	NaN	5	5	4	6	-0.174742967	NaN	NaN	0.708312759	NaN	-0.585203652	0.337189306	NaN	0.345598756	0.749279539	-0.457277241	0.73767236	4.71	0.571	0.13	0.293	0.52	0.26	0.26	12	0.688	3	4.22	158	666.76	0.528	1.71	0.688	4.22	4.666666667	0.568	0.297	57.8	57	52	64
恋	サビ	5	NaN	NaN	5	NaN	5	5	NaN	4	5	4	3	0.480534969	NaN	NaN	-0.101187537	NaN	0.117043539	0.337189306	NaN	-0.432006221	0.749279539	-0.457277241	-0.964648471	4.71	0.238	0.10	0.209	0.45	0.2	0.25	15	0.716	6	4.33	158	684.14	0.369	1.92	0.716	4.33	5	0.588	0.309	62.7	64	54	69
