タイムスタンプ,被験者ナンバー,歌った楽曲の名前（アーティストの名前）,嗜好度,なじみやすさ,記憶度,Aメロ難易度,Aメロ理由 [1],Aメロ理由 [2],Aメロ理由 [3],Aメロ理由 [4],Aメロ理由 [5],Aメロ理由 [6],Aメロ理由 [7],Aメロ理由 [8],Aメロ理由 [9],Aメロ理由 [0],Bメロ難易度,Bメロ理由 [1],Bメロ理由 [2],Bメロ理由 [3],Bメロ理由 [4],Bメロ理由 [5],Bメロ理由 [6],Bメロ理由 [7],Bメロ理由 [8],Bメロ理由 [9],Bメロ理由 [0],サビ難易度,サビ理由 [1],サビ理由 [2],サビ理由 [3],サビ理由 [4],サビ理由 [5],サビ理由 [6],サビ理由 [7],サビ理由 [8],サビ理由 [9],サビ理由 [0],こめんと
12/23/2018 18:55:24,7,キセキ,3,5,1,5,1,0,1,0,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,歌い出しのみたかい
1/6/2019 18:01:25,8,前前前世,5,5,1,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,
1/6/2019 18:04:03,8,小さな恋のうた,5,6,3,4,0,0,0,0,0,1,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,
1/6/2019 18:05:14,8,世界に一つだけの花,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,全体的にうろ覚え
1/6/2019 18:06:41,8,チェリー,5,5,2,6,0,0,3,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,
1/6/2019 18:07:38,8,Lemon,5,5,2,4,1,3,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,4,1,1,0,2,0,0,0,0,0,0,
1/6/2019 18:08:55,8,キセキ,3,3,1,5,0,0,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,
1/6/2019 18:09:52,8,恋,5,4,2,4,1,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,
1/6/2019 18:12:22,8,粉雪,4,5,2,6,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,
1/6/2019 18:13:38,8,天体観測,5,5,2,6,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,
1/6/2019 18:14:56,9,恋,5,6,3,3,0,0,0,1,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,2,1,0,0,0,サビ、こいをしたのあな「た」の
1/6/2019 18:16:04,9,世界に一つだけの花,6,7,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,Bメロ　「ひとりひとりちがうのに」
1/6/2019 18:17:10,9,粉雪,7,5,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,サビで疲れる
1/6/2019 18:18:06,9,天体観測,7,4,3,2,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,
1/6/2019 18:19:44,9,前前前世,4,2,3,6,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,7,0,0,1,1,0,1,2,1,0,0,とにかく息継ぎが難しい
1/6/2019 18:20:59,9,チェリー,5,7,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,
1/6/2019 18:22:28,9,ultrasoul,3,3,2,5,0,0,0,0,0,1,0,0,0,0,7,1,2,0,1,0,1,0,1,0,0,6,0,1,3,0,0,1,0,0,0,0,サビ「ウルトラソウル」
1/6/2019 18:23:41,9,Lemon,7,4,3,4,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,サビ「あなたとともに」
1/6/2019 18:26:44,9,Lemon,6,6,3,2,0,0,1,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,Bメロ「ひーびーがつみかさなり」のアップダウン
1/6/2019 18:27:43,9,小さな恋のうた,5,6,3,2,0,0,0,0,0,1,1,0,0,0,5,0,1,2,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,サビ「だいじなひとほど」
1/6/2019 18:31:04,10,世界に一つだけの花,7,7,3,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,簡単
1/6/2019 18:32:10,10,粉雪,5,3,2,5,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,
1/6/2019 18:33:26,10,天体観測,4,6,2,3,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,サビ「Oh YeahYeahああ」
1/6/2019 18:34:41,10,恋,5,6,2,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,サビ「み」えなくなるもの
1/6/2019 18:36:06,10,Lemon,7,5,2,3,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,のりにのれればサビはわりと行ける　Bメロが複雑だった　歌っていて気持ちがいい
1/6/2019 18:38:09,10,ultrasoul,7,5,1,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,Bメロの階段状になる箇所
1/6/2019 18:39:38,10,前前前世,3,4,1,3,0,0,0,1,0,0,0,0,0,0,7,3,1,0,1,0,0,1,0,0,0,6,3,0,0,1,0,0,0,0,0,0,
1/6/2019 18:41:27,10,小さな恋のうた,6,3,3,4,0,0,3,0,0,1,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,"A,Bは低くてサビは最高音のHiAが難しい"
1/6/2019 18:42:56,10,チェリー,6,6,3,5,0,0,2,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,6,0,1,2,0,0,0,1,1,0,0,全体的に音域が高い
1/6/2019 18:44:22,10,キセキ,7,6,1,3,0,0,0,0,0,0,0,0,0,0,7,0,3,1,0,0,0,0,0,0,0,7,0,1,1,0,0,0,1,0,0,0,高音で「イ」母音だとつらい
1/6/2019 12:58:18,11,粉雪,7,5,2,3,1,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,
1/6/2019 13:01:46,11,小さな恋のうた,7,6,3,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,Bメロが低い
1/6/2019 13:05:19,11,世界に一つだけの花,6,7,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1/6/2019 13:06:47,11,天体観測,6,7,3,2,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,
1/6/2019 13:08:17,11,チェリー,5,7,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,サビの高音が難しい
1/6/2019 13:09:42,11,Lemon,6,7,3,6,0,2,0,0,0,0,0,0,0,0,6,1,2,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,半音や低音
1/6/2019 13:11:26,11,キセキ,6,6,2,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
1/6/2019 13:21:18,11,ultrasoul,4,3,2,4,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,2,0,2,0,0,6,0,0,3,0,0,0,0,0,0,0,Bメロのリズムが難しい、高めの音域が求められるので難しい
1/6/2019 13:24:21,11,恋,5,6,2,5,2,1,0,0,0,0,0,0,0,0,6,2,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,Aメロの一言一言で低くなっていく部分（いーとなみの？）の部分で正確に音を当てるのが難しい
